variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
pitch2.25,tile_ninth,2.25,"20",1,2416718.81189123,Inf,Inf,0.36,0.36,0.52,0
pitch2.25,tile_prism,2.25,"20",1,Inf,Inf,Inf,0.104,0.168,0.424,0
pitch2.25,tile_core,2.25,"25",1,38.8896150366319,6252085.16176676,7505592.40054794,0.36,0.36,1,0
pitch2.25,tile_ninth,2.25,"25",1,180101792.708483,Inf,Inf,0.04,0.232,0.52,0
pitch2.25,tile_prism,2.25,"25",1,Inf,Inf,Inf,0.04,0.072,0.424,0
pitch2.25,tile_core,2.25,"10,11",2,43.9379268165964,Inf,Inf,0,0,0.84,0
pitch2.25,tile_ninth,2.25,"10,11",2,392829.643850357,Inf,Inf,0,0,0.68,0
pitch2.25,tile_prism,2.25,"10,11",2,Inf,Inf,Inf,0,0,0.36,0
pitch2.25,tile_core,2.25,"10,12",2,5.71407102245608,1972.98814554679,2712.54547818739,0,0,1,0
pitch2.25,tile_ninth,2.25,"10,12",2,376.719866128384,Inf,Inf,0,0,0.84,1
pitch2.25,tile_prism,2.25,"10,12",2,8372.51741558677,Inf,Inf,0,0,0.68,0
pitch2.25,tile_core,2.25,"10,13",2,0.73248582895672,3.88298699489851,3.88298699489874,0,0.08,1,1
pitch2.25,tile_ninth,2.25,"10,13",2,1.41643363705848,Inf,Inf,0.096,0.176,0.84,1
pitch2.25,tile_prism,2.25,"10,13",2,31.4302602292214,Inf,Inf,0,0.112,0.616,0
pitch2.25,tile_core,2.25,"10,15",2,0.193089239424642,0.661821471200339,0.661821471200372,0.36,0.36,1,1
pitch2.25,tile_ninth,2.25,"10,15",2,1.97924499792179,2835423.89697118,3819029.28529188,0.2,0.36,1,0
pitch2.25,tile_prism,2.25,"10,15",2,583.067307781339,Inf,Inf,0.2,0.296,0.616,0
pitch2.25,tile_core,2.25,"10,17",2,0.557414430260091,56.8595863928029,69.9712362506218,0.36,0.36,1,1
pitch2.25,tile_ninth,2.25,"10,17",2,192.487556438673,2425913.24690039,3256711.89457721,0.36,0.36,1,0
