label,x,y,z,d_true,ang_GLS_deg,pos_GLS_m,d_GLS_m,ang_WLS_deg,pos_WLS_m,d_WLS_m,ang_NLS_deg,pos_NLS_m,d_NLS_m
P30.t2,-0.4,-1.2,0.9,1.67630546142402,2.65028999411904,0.0789860053667377,1.65932440481162,2.59458414988838,0.0775636388683307,1.65853252091081,2.4348058336891,0.0778623403643,1.6433097418521
P30.t3,-0.4,-1.2,0.9,1.67630546142402,3.5657802376271,0.155129997432894,1.78793327887599,3.55117563366909,0.154821483777511,1.7879298382569,3.38002276512168,0.138439836924155,1.77033166396544
P31.t1,0,-1,0.9,1.48660687473185,1.00123040854096,0.0275362200996817,1.47724480493782,0.923741465587556,0.0251066493812186,1.4789337417368,1.1688426520965,0.0328490394968872,1.47366981608184
P31.t2,0,-1,0.9,1.48660687473185,0.750486957133474,0.0213485560162671,1.47772645678633,0.742735275939951,0.0206090575560931,1.47917601486173,0.938495255088983,0.0274411028652097,1.47375333866826
P31.t3,0,-1,0.9,1.48660687473185,0.81313955174648,0.0215411196059724,1.48210634622258,0.74680636276562,0.019617885382388,1.48341086474342,1.03892006383571,0.0281251094737055,1.47833286764261
P32.t1,0.2,-0.8,0.9,1.37477270848675,0.853567097127584,0.022741553728672,1.38450691470629,0.920639616180787,0.0256500451076778,1.38763340279848,0.589189803044695,0.0141370092218165,1.37466042108902
P32.t2,0.2,-0.8,0.9,1.37477270848675,0.840097996079421,0.0222912030807261,1.38414328953989,0.916192075345962,0.0253649367150545,1.38725204512867,0.563592382977567,0.01352757168338,1.37434664223621
P32.t3,0.2,-0.8,0.9,1.37477270848675,0.923406459429473,0.0243003572373413,1.38457611985242,1.00860255175735,0.0274641405865471,1.38754679739757,0.552575911815274,0.0132610145014879,1.37496842243379
P33.t1,0.2,-0.6,0.9,1.26885775404495,0.897069854953543,0.0454853964620835,1.3096202566371,0.724022477586921,0.046442592482731,1.3123435831259,0.752990071310571,0.031600579620218,1.29559104546356
P33.t2,0.2,-0.6,0.9,1.26885775404495,1.07228705317848,0.0521419501686668,1.31505696958729,0.922948852682857,0.0533055123258914,1.31792467942276,0.727495336610203,0.0370626253239709,1.30213346325455
P33.t3,0.2,-0.6,0.9,1.26885775404495,1.17008854714018,0.0308999668808579,1.28542898240613,1.10548601246779,0.031208213199402,1.28797791894526,0.516907119310732,0.0121310870613886,1.27282187355433
P34.t1,0.2,-0.4,0.9,1.18743420870379,1.53045088915836,0.0414013690640578,1.21362412200408,1.69734203242959,0.0456233022323401,1.21597246479484,0.484415450558792,0.0190184400602647,1.20354464019589
P34.t2,0.2,-0.4,0.9,1.18743420870379,1.46641401714328,0.0396362284943312,1.21249381054589,1.63684770587108,0.0438464674297431,1.21473548014445,0.426637753041137,0.0171689307660118,1.20211842952286
P34.t3,0.2,-0.4,0.9,1.18743420870379,1.42521877152403,0.0387359739664179,1.21213103866579,1.60269163795756,0.0429794971826472,1.21425109586274,0.381081934382959,0.0162044437488636,1.20155749949285
P35.t1,0.2,-0.2,0.9,1.13578166916005,1.49092167274156,0.0327299335787032,1.14946710841675,1.69852077141439,0.0369863178017423,1.15060095900962,0.868887295267785,0.0199836888394753,1.14578527644491
P35.t2,0.2,-0.2,0.9,1.13578166916005,1.42186363122477,0.0311780187727007,1.14876587135375,1.62474451687378,0.0353950982613496,1.15001403798831,0.814529508062185,0.0185456491499318,1.14479095729197
P35.t3,0.2,-0.2,0.9,1.13578166916005,1.62386624392917,0.0358196395753501,1.15104561099992,1.83567052131085,0.0400455072024195,1.15193067331943,0.976261010049062,0.0230038935624632,1.1480544126659
P36.t1,0,0,0.9,1.1,0.149381815408048,0.00898476224580628,1.1085110119578,0.210465116206072,0.00950579269602797,1.10859684485798,0.170956725901217,0.00915802349238471,1.10854478332406
P36.t2,0,0,0.9,1.1,0.271466637754839,0.0108875814378295,1.1095467812687,0.358403181698909,0.0117951572048772,1.10955868235995,0.276619500799869,0.0109298430726057,1.10954008624082
P36.t3,0,0,0.9,1.1,0.359090325240276,0.0117623507447015,1.10950865041167,0.441984438240629,0.0127181201370083,1.10944083619884,0.361615841348979,0.0117888608727509,1.10950590438397
P37.t1,-0.4,0.2,0.9,1.18743420870379,0.898742086803265,0.0186491142846634,1.18822950841111,0.564787627041405,0.0118948619891152,1.18949423563974,0.898473371825677,0.0203204421519657,1.17915037087832
P37.t2,-0.4,0.2,0.9,1.18743420870379,0.633599044196101,0.0132039734173493,1.18874937090864,0.465376618534464,0.00975584387714829,1.18886375181088,0.921788447471357,0.0209256827671132,1.17873869154299
