BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples
317,30,70,15,golden_prefix,per_orientation,700.995244134954,15000
318,45,70,15,golden_prefix,per_orientation,227.819536590784,15000
319,60,70,15,golden_prefix,per_orientation,209.014761304138,15000
320,75,70,15,golden_prefix,per_orientation,243.38122009022,15000
321,15,75,15,golden_prefix,per_orientation,86030807.3465856,15000
322,30,75,15,golden_prefix,per_orientation,700.995244134954,15000
323,45,75,15,golden_prefix,per_orientation,227.819536590784,15000
324,60,75,15,golden_prefix,per_orientation,209.014761304138,15000
325,75,75,15,golden_prefix,per_orientation,243.38122009022,15000
326,15,85,15,golden_prefix,per_orientation,86030807.3465856,15000
327,30,85,15,golden_prefix,per_orientation,700.995244134954,15000
328,45,85,15,golden_prefix,per_orientation,227.819536590784,15000
329,60,85,15,golden_prefix,per_orientation,209.014761304138,15000
330,75,85,15,golden_prefix,per_orientation,243.38122009022,15000
331,15,45,25,golden_prefix,per_orientation,Inf,25000
332,30,45,25,golden_prefix,per_orientation,Inf,25000
333,45,45,25,golden_prefix,per_orientation,Inf,25000
334,60,45,25,golden_prefix,per_orientation,Inf,25000
335,75,45,25,golden_prefix,per_orientation,Inf,25000
336,15,60,25,golden_prefix,per_orientation,Inf,25000
337,30,60,25,golden_prefix,per_orientation,Inf,25000
338,45,60,25,golden_prefix,per_orientation,Inf,25000
339,60,60,25,golden_prefix,per_orientation,Inf,25000
340,75,60,25,golden_prefix,per_orientation,Inf,25000
341,15,65,25,golden_prefix,per_orientation,208565280.027929,25000
342,30,65,25,golden_prefix,per_orientation,591.386466658739,25000
343,45,65,25,golden_prefix,per_orientation,177.550695504094,25000
344,60,65,25,golden_prefix,per_orientation,161.11692564868,25000
345,75,65,25,golden_prefix,per_orientation,189.497947959298,25000
346,15,70,25,golden_prefix,per_orientation,66276362.0219582,25000
347,30,70,25,golden_prefix,per_orientation,532.404322117448,25000
348,45,70,25,golden_prefix,per_orientation,177.550695504094,25000
349,60,70,25,golden_prefix,per_orientation,161.037958656627,25000
350,75,70,25,golden_prefix,per_orientation,187.4794793028,25000
351,15,75,25,golden_prefix,per_orientation,66276362.0219582,25000
352,30,75,25,golden_prefix,per_orientation,532.404322117448,25000
353,45,75,25,golden_prefix,per_orientation,177.550695504094,25000
354,60,75,25,golden_prefix,per_orientation,161.037958656627,25000
355,75,75,25,golden_prefix,per_orientation,187.4794793028,25000
356,15,85,25,golden_prefix,per_orientation,66276362.0219582,25000
357,30,85,25,golden_prefix,per_orientation,532.404322117448,25000
358,45,85,25,golden_prefix,per_orientation,177.550695504094,25000
359,60,85,25,golden_prefix,per_orientation,161.037958656627,25000
360,75,85,25,golden_prefix,per_orientation,187.4794793028,25000
361,15,45,49,golden_prefix,per_orientation,Inf,49000
362,30,45,49,golden_prefix,per_orientation,Inf,49000
363,45,45,49,golden_prefix,per_orientation,Inf,49000
364,60,45,49,golden_prefix,per_orientation,Inf,49000
365,75,45,49,golden_prefix,per_orientation,Inf,49000
366,15,60,49,golden_prefix,per_orientation,Inf,49000
367,30,60,49,golden_prefix,per_orientation,Inf,49000
368,45,60,49,golden_prefix,per_orientation,Inf,49000
369,60,60,49,golden_prefix,per_orientation,Inf,49000
370,75,60,49,golden_prefix,per_orientation,Inf,49000
371,15,65,49,golden_prefix,per_orientation,146466325.443945,49000
372,30,65,49,golden_prefix,per_orientation,417.509733405096,49000
373,45,65,49,golden_prefix,per_orientation,126.592223596116,49000
374,60,65,49,golden_prefix,per_orientation,115.016333511543,49000
375,75,65,49,golden_prefix,per_orientation,135.275217775585,49000
376,15,70,49,golden_prefix,per_orientation,47316039.4816306,49000
377,30,70,49,golden_prefix,per_orientation,381.375078007386,49000
378,45,70,49,golden_prefix,per_orientation,126.592223596116,49000
379,60,70,49,golden_prefix,per_orientation,114.993406866824,49000
380,75,70,49,golden_prefix,per_orientation,133.819405129956,49000
381,15,75,49,golden_prefix,per_orientation,47316039.4816306,49000
382,30,75,49,golden_prefix,per_orientation,381.375078007386,49000
383,45,75,49,golden_prefix,per_orientation,126.592223596116,49000
384,60,75,49,golden_prefix,per_orientation,114.993406866824,49000
385,75,75,49,golden_prefix,per_orientation,133.819405129956,49000
386,15,85,49,golden_prefix,per_orientation,47316039.4816306,49000
387,30,85,49,golden_prefix,per_orientation,381.375078007386,49000
388,45,85,49,golden_prefix,per_orientation,126.592223596116,49000
389,60,85,49,golden_prefix,per_orientation,114.993406866824,49000
390,75,85,49,golden_prefix,per_orientation,133.819405129956,49000
