BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples,Area_mm2,RMS_full_cm,RMS_conditional_cm,Worst_cm,RegularCoverage_percent,TargetCoverage_percent,Feasible
36,15,60,5,uniform_cone,per_orientation,Inf,5000,50,Inf,527495.509474007,Inf,97.8021978021978,9.72104818258664,0
36,15,60,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,349798.083205575,Inf,97.8021978021978,11.7497886728656,0
36,15,60,5,uniform_cone,per_orientation,Inf,5000,100,Inf,263747.754737004,Inf,97.8021978021978,13.7785291631445,0
36,15,60,5,uniform_cone,per_orientation,Inf,5000,150,Inf,175831.836491336,Inf,97.8021978021978,17.497886728656,0
37,30,60,5,uniform_cone,per_orientation,Inf,5000,25,Inf,53.6257695443491,Inf,97.8021978021978,5.07185122569738,0
37,30,60,5,uniform_cone,per_orientation,Inf,5000,50,Inf,26.8128847721745,Inf,97.8021978021978,13.6939983093829,0
37,30,60,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,17.780427567755,Inf,97.8021978021978,20.8791208791209,0
37,30,60,5,uniform_cone,per_orientation,Inf,5000,100,Inf,13.4064423860873,Inf,97.8021978021978,28.6559594251902,0
37,30,60,5,uniform_cone,per_orientation,Inf,5000,150,Inf,8.93762825739151,Inf,97.8021978021978,39.4759087066779,0
38,45,60,5,uniform_cone,per_orientation,Inf,5000,25,Inf,17.2331552929008,Inf,97.8021978021978,3.88841927303466,0
38,45,60,5,uniform_cone,per_orientation,Inf,5000,50,Inf,8.61657764645042,Inf,97.8021978021978,10.8199492814877,0
38,45,60,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,5.71391090613423,Inf,97.8021978021978,20.7100591715976,0
38,45,60,5,uniform_cone,per_orientation,Inf,5000,100,Inf,4.30828882322521,Inf,97.8021978021978,28.5714285714286,0
38,45,60,5,uniform_cone,per_orientation,Inf,5000,150,Inf,2.87219254881681,Inf,97.8021978021978,46.5765004226543,0
39,60,60,5,uniform_cone,per_orientation,Inf,5000,25,Inf,16.8109176415024,Inf,97.8021978021978,2.1978021978022,0
39,60,60,5,uniform_cone,per_orientation,Inf,5000,50,Inf,8.40545882075122,Inf,97.8021978021978,9.04480135249366,0
39,60,60,5,uniform_cone,per_orientation,Inf,5000,75.4,Inf,5.57391168484829,Inf,97.8021978021978,17.2442941673711,0
39,60,60,5,uniform_cone,per_orientation,Inf,5000,100,Inf,4.20272941037561,Inf,97.8021978021978,26.1200338123415,0
